Year,2017,2018,2019,2020,2021
Extraction tax and royalty,22991,21832,23146,14221,24059
SG&A,14437,16109,15202,18410,20801
Exploration expenses,8761,8085,7681,8575,8113
Social expenses,5973,6027,7341,4294,6019
Other taxes and payments,5451,5553,4932,4902,4909
Other non-production costs,2542,1559,-215,2508,2365
Diamonds for resale,16,37,2776,1029,10117
Non-production costs,60171,59202,60863,53939,76383
