Year,2017,2018,2019,2020,2021
Long-term debt,58694,64974,84171,125180,104235
Short-term debt,34734,41687,33113,42665,18306
Cash and cash equivalents,7381,27437,13315,86872,29534
Bank deposits,11784,24340,49742,31806
Net debt,86047,67440,79629,31231,61201
