Year,2018,2019,2020,2021
Ore and sands production (kt),39913,43597,29705,33537
Ore and sands processing (kt),40488,41254,29686,30903
Grades (ct/t),0.91,0.93,1.01,1.05
Diamond production (k ct),36749,38485,30020,32399
